n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1943.4,2051.5,2525.9,2694.8,2870,2997.6,4117.6,4316.5,4440.1,4730.5,4927.7,5051.4,5279.6,5449.3,5568.1,5765.7,5920.3,6075.6,NaN,NaN,6413.9,NaN,6608.1,6767.9
2014.4,2161,2587.4,2765.9,2936.6,3106.3,4249.3,4384.3,4571.8,4800.3,4999.4,5167.5,5354.7,5524.4,5688.3,5874.4,6018.8,NaN,NaN,6337.6,NaN,6560,6715.4,6867.2
