n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1819.2,1916.7,2123.4,2292.2,2383.2,2681.6,2868.9,3000.2,3242.5,3403.5,3526.4,3711.2,3863.2,4019.2,NaN,NaN,4346.2,NaN,4545.9,4700.6,4871.4,5091.4,5216.2,5330.8,5533,5693.6,5811.5,5996.2,6147,6310.1,NaN,NaN,6640.9,NaN,6838,6998.9,7164.1,7383.4,7507.6,7619.7,7812.1,NaN,8014.8,8174.4,8341.9,NaN,NaN,8686.8,8821.2,8936.3,9121.3,9275.3,9458.3,NaN,NaN,9793.7,NaN,9989.8,10145,10314,10530,10652,10768,10957,NaN,11153,11310,11511,NaN,NaN
1868.6,2035.3,2184.8,2357.8,2521.5,2754.2,2940.5,3101.8,3328.9,3476.9,3646.7,3803.2,3961.9,NaN,NaN,4272.7,NaN,4494.8,4642.8,4797.6,5050.9,5183.1,5290.2,5451.7,5606.1,5772.6,5933.5,6093.5,6246.1,NaN,NaN,6566.9,NaN,6789.8,6942.9,7094.9,7342.3,7452.8,7584.4,7743.5,NaN,7967.2,8126.6,8275.2,NaN,NaN,8592.4,8752.6,8895.8,9054.2,9222.1,9370.9,NaN,NaN,9714.6,NaN,9937.9,10088,10244,10492,10604,10729,10893,NaN,11104,11256,11409,NaN,NaN,11766
