n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n
1809.8,1978.2,2132.4,2299.1,2444.4,2708,2905.2,3035.5,3264.3,3442.2,3576.5,3796.8,3938.6,4072.7,4259.1,4416.7,4578.2,NaN,NaN,4917.2,NaN,5118,5274.5,5451.2,5674.2,5804.5,5919.6,6131.2,6278.2,6400.2,6583.4,6740.1,6907.8,NaN,NaN,7246.3,NaN,7446.1,7609,7780.9,8004.9,8136.3,8255.8,8475.9,8634.7,8749,8938.1,9097.4,9260.3,NaN,NaN,9604.5,NaN,9803.6,9964.3,10134,10361,10488,10605,10812,10970,11089,11280,NaN,11481,11645,11807,12036,12203,12354,12473,12690,12853,12973,13158,13318,13491,NaN,NaN,13859,NaN,14059,14231
1852.5,2064.5,2198.8,2368.7,2553.6,2786.7,2975.5,3146.9,3336.9,3512.5,3692.5,3890,4026.6,4201.4,4364.4,4518.7,NaN,NaN,4841.6,NaN,5069.2,5226.8,5373.3,5637.2,5752.7,5888.1,6058.4,6207.6,6359.9,6526.7,6692.2,6844,NaN,NaN,7181.2,NaN,7398.7,7558.8,7711,7969.6,8083.3,8213.8,8383.2,8554.1,8717,8873.7,9064.8,9200.5,NaN,NaN,9527.4,NaN,9752.9,9929.6,10082,10322,10436,10565,10730,10886,11049,11231,NaN,11435,11594,11745,11996,12095,12278,12435,12607,12769,12935,13113,13266,13421,NaN,NaN,13755,NaN,14008,14172,14278
