g,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,e
2820.5,2962.7,3127.4,3307.4,3439.2,3672.6,3870.2,3988.2,4210.5,4372.1,4489,4673.6,4821.2,4986.2,NaN,NaN,5310.6,NaN,5503.4,5655.8,5827,6888.2,7043.3,7156.3,7397.1,7547.2,7724.3,7939.8,8058.6,8169.8,8372.5,8512.9,8623.5,8802.7,8952,9107.8,9195.9,9419.9,NaN,9613,9767.5,9927.9,10145,10270,10381,10600,10740,10854,11036,11190,11366,NaN,NaN,11706,NaN,11898,12055,12267,12358
2867.6,3052.2,3195,3375.5,3545.6,3742,3944.2,4105,4275.4,4444.1,4607.4,4769.8,4914.9,NaN,NaN,5238.6,NaN,5456.6,5597.2,5754,5939.7,6960.7,7117.9,7279.4,7495.2,7643.5,7903.8,8014.3,8130.8,8287.3,8446.6,8592,8741.4,8915.8,9047.4,9171.9,9351,NaN,9565.1,9717,9864.8,10103,10219,10348,10504,10671,10819,10974,11157,11286,NaN,NaN,11617,NaN,11849,12003,12155,12337,12498
