n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,n,n,e,n,n,e
1985.7,2133,2267.1,2765.5,2932.3,3046.8,3226.2,3378.3,3550.8,NaN,NaN,3889.8,NaN,4086.6,4238.3,4402.9,4621.3,4748.2,4859.7,5061,NaN,5254.3,5411,5744.2,5930.4,6050,6264.9,6424.9,6545.9
2044.2,2200.6,2374.6,2843.2,3008,3164,3327.9,3477.3,NaN,NaN,3810.6,NaN,4036.9,4185.5,4346.4,4580.2,4691.8,4822.8,4984.2,NaN,5208.4,5362.6,5516,5819.5,6004.9,6171.1,6352.2,6498.3,6668.6
