n,n,n,n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,e,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x
1389.5,1550.7,1790.6,1958.2,2753.4,2897.1,3048,3896.4,4054.2,4208.2,4379.3,4517.7,4825.5,4999.7,5124.7,5324.3,5478.8,5644.1,NaN,NaN,5969.2,NaN,6168.7,6320.6,6497.8,6713.2,6834.6,6948.4,7136.9,7291.2,7448.1,NaN,NaN,7776.3,NaN,7972.4,8132.1,8327.1,8537.8,8662.9,8776.2,8959.8,9116.1,9275.7,NaN,NaN,9613.2,NaN,9809.7,9971.7,10149,10367,10492,10604,10782,NaN,10979,11139,11303,NaN,NaN,11660,11806,11920,12126,12277,12390,12572,12727,12902,NaN,NaN,13262,13402,13516,13697,NaN,13896,14054,14238,14460,14585,14700,14894,NaN,15089,15251,15448,NaN,NaN,15808,15964,16082,16266,NaN,16465,16624,16902,17048,17171,17283,17486,17679,17793,17976,NaN,18178,18335,18516,NaN,NaN,18877,19020,19136,19342,NaN,19541,19701
1424.3,1601.5,1849.1,2020.1,2799.5,2964,3105.1,3948.6,4123.2,4269.7,4446.5,4625.8,4895.3,5072.7,5242.3,5424.5,5574.3,NaN,NaN,5898.5,NaN,6115.8,6268.6,6418,6676.1,6787.7,6906.2,7071.8,7237.5,7389.3,NaN,NaN,7705.1,NaN,7925.2,8077.6,8229.8,8500.5,8609.8,8737.1,8896.6,9063.5,9222.5,NaN,NaN,9531.7,NaN,9761.5,9915.5,10073,10329,10450,10568,10724,NaN,10929,11097,11246,NaN,NaN,11553,11732,11880,12039,12199,12353,12509,12671,12825,NaN,NaN,13156,13350,13479,13638,NaN,13847,13997,14154,14417,14544,14658,14819,NaN,15042,15193,15357,NaN,NaN,15704,15876,16038,16201,NaN,16413,16572,16734,17010,17118,17249,17404,17560,17755,17917,NaN,18126,18271,18434,NaN,NaN,18773,18949,19094,19257,NaN,19494,19641,19800
