n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,n
1629.8,1817.9,1959.5,2133.4,2366.9,2642.3,2825.1,2942.7,3206.5,3411.8,3532.5,3756.9,3922.3,4037.7,4226.7,4382.2,4534,NaN,NaN,4861.8,NaN,5059.7,5216.3,5382.4,5611,5736.4,5845.8,6049.2,6200.2,6314.7,6501.5,6653.1,6807.2,NaN,NaN,7147.9,NaN,7342.9,7498.5,7728.8,7938.1,8066,8178,8361,NaN,8556.8,8714.3,8883.5,NaN,NaN,9218.9,NaN,9414,9572.2,9750.4,9970.4,10098,10210,10395,NaN,10590,10749,10923,11140,11271,11384,11577,11731,11900,NaN,NaN,12256
1660.9,1881,2033.9,2188.1,2513.7,2710.9,2887.5,3051.4,3273.5,3485.7,3649.6,3828.3,3997.6,4156.8,4337.4,4480.3,NaN,NaN,4796.3,NaN,5010.8,5157.7,5313.8,5562.4,5682,5813,5966,6120.7,6276.3,6436.8,6603.5,6754,NaN,NaN,7067.5,NaN,7293.8,7447.2,7600.6,7899.4,8012.8,8143.1,8304.4,NaN,8509.8,8680.3,8826.1,NaN,NaN,9139,NaN,9361.8,9522.6,9682.2,9929.6,10042,10172,10334,NaN,10540,10691,10848,11101,11216,11353,11507,11677,11834,NaN,NaN,12158,12323
