n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,c,a,b,c,x,g,n,n,e,c,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,c,g
1804.7,1961.3,2271.2,2426.9,2570.2,3228.4,3511.1,3679.6,3791.5,4092.8,4268.6,4384.8,4565.6,4716.7,4880.2,NaN,NaN,5208.8,NaN,5400.5,5554.3,5734.6,5959,6089.8,6200.8,6383.8,6535.6,6696.2,6782.6,7051.3,NaN,7240,7394.2,7585.5,7892.8,8025.8,8149,8327.1,8970.4,NaN,9163.7,9319.1,9486.9,9707.2,9844.5,9957,10201,10426,10575,10687,10872,11021,11186,11400,11522,11636,11847,11987,12097,12280,12435,12603,NaN,NaN,12928,NaN,13121,13278,13441,13661,13790,13902,14083,NaN,14279,14438,15542,15767
1854.4,2190.5,2336.1,2489,2676,3397.8,3584.2,3746.6,3906.2,4165.1,4342,4505.9,4654.4,4813,NaN,NaN,5143.3,NaN,5351.9,5504.2,5652.5,5915.3,6032,6168.5,6322.4,6501.8,6635.5,6760.9,6942.9,NaN,7194.5,7346.5,7488.5,7762.2,7961.6,8113.4,8270.3,8427.2,NaN,9114.9,9270.3,9420.9,9668.5,9775.9,9916.7,10074,10238,10500,10649,10807,10971,11118,11364,11474,11594,11754,11920,12064,12222,12374,12534,NaN,NaN,12854,NaN,13072,13221,13374,13620,13754,13871,14025,NaN,14229,14385,14542,15657,15856
