n,n,n,e,n,n,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a
1945.8,2133,2296,2431.2,3079.2,3254.4,3639.6,3828,3954,4174.8,4336.6,4460,4667.6,4814.4,4969.1,NaN,NaN,5480.3,5641.5,5758.8,5971.8,6129,6253.2,6561.4,6726.8,6838.8,7072.9,7985.3,8151.4,8270.5,8498,8654,8772.7,8959.8,9110.6,9270.5,NaN,NaN,9600.9,NaN,9794.7,9950.3,10117,10334,10464,10585,10788,10950,11067,11258,11412,11585,NaN,NaN,11907
2048.3,2196.1,2363.6,2532.9,3144.7,3323.2,3705.7,3898.3,4067.5,4247.4,4411.1,4579.4,4761.4,4912.2,NaN,NaN,5219.8,5554.1,5718.4,5874.4,6043.2,6205.9,6370.4,6636.6,6804.6,6960.5,7141.6,8049.5,8219.2,8386.2,8566.4,8730.1,8892.6,9060.8,9209.6,NaN,NaN,9522.8,NaN,9748,9898.5,10045,10293,10408,10543,10705,10859,11024,11190,11360,11512,NaN,NaN,11857,11963
