n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,n,n,e,n,n,e,n
2777.8,2981.4,3104.7,3355.7,3533,3651.2,3871.5,4013.7,4126.9,4319.1,4467.8,4622.6,NaN,NaN,4946.8,NaN,5137.2,5288.7,5451.9,5664.7,5791.6,5900.5,6090.6,6233.5,6344.5,6523.8,6674.2,6836,6925.9,7163.9,NaN,7357.3,7513.8,7685.1,7900.1,8024.4,8138.7,8337.3,8474,8585.3,8782.2,8936.7,9113.9,NaN,NaN,9440,NaN,9635.2,9789,9968.4,10186,10312,10427,10627,10776,10891,11099,11242,11354,11570,11720,11830,12024,12178,12343,NaN,NaN,12697,12840,12954,13177,13359,13473,13687,13907,14024,14247,14414,14531,14752
2853.5,3048.4,3212.9,3425.6,3609.3,3767.1,3973,4088.6,4246.7,4420.4,4566.1,NaN,NaN,4880.2,NaN,5090.5,5234.6,5392.7,5629.8,5748.5,5864.8,6030.3,6165,6314.4,6453.3,6623.4,6773.3,6902,7076,NaN,7309.5,7461.6,7610.7,7859.6,7969.8,8102.2,8254.9,8405.4,8549.2,8705.6,8881,9033.3,NaN,NaN,9381.7,NaN,9583.6,9729.2,9884.5,10146,10261,10389,10545,10697,10849,11011,11180,11319,11477,11644,11802,11943,12126,12274,NaN,NaN,12600,12782,12912,13073,13246,13434,13597,13758,13984,14145,14318,14488,14653,14824
