n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1803.1,1976.3,2125.7,2268.9,2403,2720.9,2921.2,3063.4,3355.7,3533.5,3651.4,3836.4,3991.6,4148.7,NaN,NaN,4477.1,NaN,4674.5,4830.8,5008.6,5228.6,5355.9,5470.5,5686.5,5840.4,5956.7,6156.1,6322.3,6438,6622.1,6777.1,6943.9,NaN,NaN,7264.3,NaN,7459.5,7613.4,7776.7,7993.8,8124.2,8237.6,8438.9,8607.1,8718.7,8904,9059,9221.2,NaN,NaN
1853.4,2045.9,2181.8,2331.7,2510.6,2791.8,2993,3191.8,3428.1,3607.2,3766.1,3932.4,4088.4,NaN,NaN,4410,NaN,4625,4781.6,4928.4,5185.8,5300,5431.8,5587.3,5760.4,5919.9,6081.8,6227.1,6400.4,6559.2,6728.4,6872.8,NaN,NaN,7203.1,NaN,7410,7557.6,7711.1,7959.9,8068,8199.4,8362.3,8513.9,8680.8,8838.2,9004.8,9157.2,NaN,NaN,9483
