n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,n,e,c,x,n,e
1994.2,2152.6,2281.7,2505.3,2701.2,2821.1,3007.2,3162.1,3330.2,NaN,NaN,3663.2,NaN,3855.9,4011.8,4187.9,4413.9,4540.9,4662.2,4897.7,5060.8,5177.7,5418.7,5990.2,6145.8,6260.2,6455.6,6605.9,6782.6,6871.6
2074.3,2223.4,2388.5,2579.4,2776.7,2946.1,3115.1,3261.8,NaN,NaN,3591.1,NaN,3810.2,3960.8,4106.3,4370.9,4489.9,4612.5,4784.5,4972.2,5137.8,5300.2,5488.2,6060.3,6221.2,6385.3,6554.6,6704.6,6849.1,7027.8
