n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1974.1,2151.1,2670.3,2818.2,2995.2,3321.2,3513.4,3638.2,3964.6,4137.8,4278.1,4501.2,4681.2,4804.5,5008.2,5164.4,5362,NaN,NaN,5699.4,NaN,5896.7,6056.1,6235.4,6467.4,6603.9,6756.2,6872.3,7077.5,7223.7,7340.8,7525.2,7680.2,7854.9,NaN,NaN,8209.7,NaN,8405.5,8569.4,8739.3,8958.2,9084.2,9200,9395.9,9545.5,9717.9,NaN,NaN,10055,10209,10328,10522,10676,10855,11147,11301,11414,11615,11753,11869,12052,12210,12400,NaN,NaN
2031.4,2201.5,2723,2899.7,3057.2,3400.7,3576.6,3740.8,4066.6,4212.2,4391.1,4571.9,4756,4923.7,5113.1,5264,NaN,NaN,5616.3,NaN,5852.1,6003.6,6153.1,6415.9,6501.9,6677.2,6837,6992.6,7154.4,7304.2,7464.8,7625.6,7780.8,NaN,NaN,8115.8,NaN,8358.6,8515.1,8666.6,8920.2,9033.1,9159.8,9323.8,9495.3,9645.7,NaN,NaN,9983.6,10161,10287,10451,10627,10780,11033,11223,11379,11537,11692,11831,11990,12155,12312,NaN,NaN,12652
