n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1820.9,1904.8,2148.8,2310.9,2585.2,2775.6,2923.3,3023.3,3688.6,3859.1,3980.8,4240,4405.1,4531,4756.3,4910.1,5073,NaN,NaN,5408,NaN,5608.3,5767,5942.6,6163.8,6290.5,6404.1,6613.4,6753.3,6869.4,7056.7,7212.7,7384.6,7606.7,7761.8,7898.6,8010.8,8198.2,8358.1,8522.7,NaN,NaN,8857.1,NaN,9057,9218.7,9394.7,9618.9,9746.7,9862.3,10050,NaN,10251,10416,10600,NaN,NaN,10955,11101,11216,11433,11595,11712,11900,12057,12226,NaN,NaN,12565,NaN,12768,12929,13127,13354,13483,13598,13819,14004,14117,14322,14469,14587,15004,15155,15271,15471,NaN,15671,15830,16007,16228,16362,16480,16666,NaN,16871,17034,17224,NaN,NaN
1861.8,2045.2,2220.8,2367.4,2662.7,2827,2984.3,3162.2,3757.9,3928.1,4090.8,4312.3,4479.8,4649.8,4851,5010.4,NaN,NaN,5331.4,NaN,5558.4,5711.4,5867.2,6124.1,6235.4,6371.1,6525.6,6687.8,6827.7,6994.7,7154.4,7314.8,7561.5,7662.7,7833.3,7972.5,8132.3,8319.6,8459.2,NaN,NaN,8782.7,NaN,9004,9153.5,9337.9,9577.6,9707.4,9826.8,9987.5,NaN,10199,10359,10532,NaN,NaN,10858,11025,11184,11339,11507,11672,11833,12027,12159,NaN,NaN,12485,NaN,12712,12890,13030,13308,13440,13567,13712,13890,14083,14242,14398,14547,14708,15078,15228,15395,NaN,15615,15768,15931,16190,16321,16450,16604,NaN,16821,16973,17147,NaN,NaN,17482
