n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c
2720.9,2926.2,3074.7,3353.8,3567.2,3689.2,3918.9,4096.5,4226,4426.4,4582.5,4741.4,NaN,NaN,5086.2,5384.3,5544.2,5661,5843.9,6000.6,6163.3,NaN,NaN,6500.2,NaN,6701.7,6857.5,7029,7250.3,7386.2,7500,7704.1,7858.8,7971.6,8171.8,8330.2,8505.7,NaN,NaN,8849.1,NaN,9048.7,9215.9,9385.2,9608.5,9738.9,9857.2,10040,NaN,10243,10407,10589,NaN,NaN,10948,11102,11214,11409,11566,11745,NaN,NaN,12094,NaN,12294,12457,12629,12854,12987,13102,13285,NaN,13486,13650,13821,NaN,NaN,14158,NaN,14359,14520,14688,14913,15050,15166,15377,15524,15639,15827,NaN,16031,16235,16434,16554,16746,NaN,16950,17121,17319,NaN,NaN,17694,17835,17951,18167,18322,18436,18624,NaN,18828
2797.8,2973.5,3187.7,3430,3638.8,3811.2,3993.8,4179.1,4349.7,4537.9,4695.4,NaN,NaN,5002.7,5234.6,5464.2,5628.1,5784,5959.4,6113.9,NaN,NaN,6425.9,NaN,6650.9,6804.7,6968.9,7212.8,7335.7,7463.6,7628.4,7779.4,7939.8,8096.9,8278.8,8445.1,NaN,NaN,8766.9,NaN,9001.3,9160.6,9328.3,9569.4,9697.8,9812,9976.8,NaN,10193,10364,10517,NaN,NaN,10852,11029,11179,11356,11533,11682,NaN,NaN,12005,NaN,12243,12407,12565,12812,12947,13071,13226,NaN,13435,13594,13753,NaN,NaN,14090,NaN,14310,14469,14627,14870,15003,15133,15308,15453,15602,15765,NaN,15980,16141,16308,16507,16683,NaN,16899,17064,17231,NaN,NaN,17588,17782,17917,18084,18242,18399,18580,NaN,18776,18931
