n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1989.2,2147.2,2273.4,2485.8,2658.2,2768.7,2957.2,3105.2,3257.5,NaN,NaN,3578.1,NaN,3776.9,3929.7,4094.7,4309,4429.6,4540,4724.3,4874.3,5034.8,NaN,NaN,5356.4,NaN,5550.4,5703.9,5881.9,6099,6224.1,6332.7,6541.2,6679.7,6791,6971,7125.7,7299.1,NaN,NaN
2059.1,2215.2,2384.4,2553,2733.2,2884.8,3055.3,3200.5,NaN,NaN,3510.8,NaN,3722,3878.3,4029.4,4272.3,4397.5,4506.5,4659.9,4833.4,4980.1,NaN,NaN,5286.1,NaN,5504.1,5652.4,5801,6060.6,6182,6296.7,6453.7,6611.6,6751.8,6907.2,7075.3,7224.6,NaN,NaN,7549.7
