n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c
1983.4,2155.9,2283.9,2511.5,2748.1,2876,3125.3,3299.8,3423.9,3641.2,3794.9,3959.5,NaN,NaN,4309.3,NaN,4508,4669.1,4841.4,5061.3,5186.2,5302.7,5513.8,6468.5,6645.4,6758.4,6968.3,7123.2,7286.2,NaN,NaN,7618,NaN,7814.5,7973.9,8138.5,8354.2,8479.7,8590.2,8796.5,8936.9,9052.1,9232.5,NaN,9429.3,9588.3,9751.9,NaN,NaN,10082,NaN,10279,10440,10612,10827,10952,11064,11253,NaN,11450,11607,11797,NaN,NaN,12138,12283,12393,12598,12753,12867,13053,13207,13400,NaN,NaN,13757,13902,14016,14197,14352,14535,14751,14877,14995,15178,NaN,15375
2051.2,2220.9,2392.5,2577.7,2819.5,2989.5,3193.2,3376.9,3539.6,3736.5,3889.4,NaN,NaN,4217.8,NaN,4457.2,4610.6,4776.8,5020.5,5133.1,5262.2,5422.7,5590.9,6537.6,6715.8,6881.1,7065.4,7221,NaN,NaN,7542.8,NaN,7761,7914.2,8070.8,8315.3,8428.3,8554.4,8711.9,8870,9013.5,9173.6,NaN,9380,9536.3,9695.9,NaN,NaN,10008,NaN,10228,10387,10540,10792,10900,11028,11193,NaN,11401,11550,11707,NaN,NaN,12049,12209,12363,12512,12671,12834,12992,13147,13309,NaN,NaN,13658,13827,13980,14137,14295,14451,14711,14827,14961,15119,NaN,15324,15465
