-,-,-,-,-,-,-,-,-,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,-
1999,2591.7,3035.1,4078.3,4577.8,5628.4,6059,6378.4,6663.3,6884.3,7053.3,7940.1,8124.2,8260.3,8495,8695.7,8809.4,8994.1,9143,9292.1,NaN,NaN,9616.4,NaN,9804.8,9954.7,10132,10346,10474,10587,10821,10959,11067,11259,11410,11568,11656,11893,NaN,12082,12236,12418,12744,12893,13007,13200,13355,13522,NaN,NaN,13846,NaN,14036,14189,14373,14588,14712,14823,15028,15171,15288,15470,15632,15782,NaN,NaN,16110,NaN,16304,16460,16646,16864,16988,17099,17286,NaN,17481,17639,17847,NaN,NaN,18199,18346,18894
2048.1,2778.7,3139.5,4126.8,4630,5661.9,6102.7,6418,6701.4,6949,7122.1,8007.6,8192.9,8364.1,8561.6,8766.7,8925.3,9094.7,9237.3,NaN,NaN,9539.2,NaN,9760.7,9905.4,10051,10304,10418,10547,10704,10891,11032,11184,11364,11505,11631,11811,NaN,12035,12200,12330,12592,12814,12970,13125,13299,13451,NaN,NaN,13767,NaN,13988,14138,14284,14547,14660,14786,14942,15108,15245,15408,15570,15738,NaN,NaN,16036,NaN,16252,16403,16555,16824,16935,17063,17220,NaN,17430,17582,17737,NaN,NaN,18103,18265,18378,18936
