n,n,e,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c
1989.4,2116.3,2290.4,2626.3,2817.4,3038.3,3213.5,3345.1,3542.8,3696.4,3862.4,NaN,NaN,4199.5,NaN,4398.6,4557.4,4729.8,4947.4,5073.9,5189.8,5403.8,5547.2,5662.4,5849.4,6005.9,6174.5,NaN,NaN,6507.1,NaN,6706.2,6864.9,7035.1,7326.5,7466,7578.6,7772,7923.1,8037.2,8220.7,8382.4,8548.4,NaN,NaN,8880.2,NaN,9077.8,9236.8,9413.5,9637.1,9767,9881.3,10065,NaN,10262,10423,10600,10821,10951,11067,11249,NaN,11448,11613,11826,NaN,NaN,12187,12329,12448,12656,12812,12929,13112,13272,13435,13658,13788,13908,14093,NaN,14292,14457,14651,14880,15009,15127,15330,NaN,15532,15698,15906,NaN,NaN,16262,16410,16529,16741,16908,17023,17229,NaN,17429
2058,2236.5,2403.2,2699.4,2892.2,3114.7,3289.2,3467.5,3652.8,3798.3,NaN,NaN,4133.1,NaN,4350,4510.7,4656.6,4915.1,5029.2,5151.8,5316.9,5475.2,5627.9,5789.8,5958.8,6107.3,NaN,NaN,6437.9,NaN,6659,6814.1,6982.9,7216.3,7412.2,7548.1,7702.9,7852.2,8000,8160.1,8337.2,8481.1,NaN,NaN,8815.4,NaN,9032.3,9183.5,9340.5,9596.9,9714.2,9846.5,10010,NaN,10213,10371,10525,10782,10900,11026,11193,NaN,11400,11562,11719,NaN,NaN,12088,12260,12412,12573,12731,12896,13054,13219,13377,13621,13753,13868,14034,NaN,14242,14400,14560,14841,14960,15092,15252,NaN,15482,15639,15800,NaN,NaN,16167,16337,16488,16657,16818,16986,17143,NaN,17379,17500
