n,c,n,n,n,e,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,n,n,n,e,c,x,d,m,p,a,b,c,x
1092.7,1823.1,1963.8,2126.3,2283.1,2405.2,2970.2,3145.2,3272,3517.9,3702.1,3826.1,4080.6,4609.7,4766.7,4882.8,5076.3,5232.1,5389.2,NaN,NaN,5733,NaN,5932.2,6092.7,6270.9,6497.4,6627.3,6739.4,7812.2,7974.4,8092.4,8307.3,8464.7,8578.9,8763,8918.7,9082.4,NaN,NaN,9586.7,9723,9838.6,10024,10178,10348,10570,10698,10816,11025,11166,11281,11466,11621,11783,NaN,NaN,12125,NaN,12324,12482,12650,12873,13001,13116,13300,NaN,13498,13662,13832,14141,14291,14406,14588,14747,14928,NaN,NaN,15263,NaN,15463,15625,15810,16040,16165,16280,16508,16673,16794,16987,17135,17380,17527,17645,17841,17996,18176,NaN,NaN,18530,NaN,18733,18898
1144.3,1869.7,2050,2182.2,2348,2511.6,3041.2,3209.2,3381.4,3587.4,3773.2,3935.5,4144.3,4680.5,4838.7,5008.3,5177.2,5333.4,NaN,NaN,5643.2,NaN,5883.6,6039.7,6192.8,6455.7,6574.9,6701,6859.3,7882.8,8046.2,8207.3,8376.9,8536.8,8698.2,8867.5,9019.7,NaN,NaN,9347.8,9652.5,9797.7,9959.8,10128,10283,10533,10643,10773,10941,11096,11240,11401,11569,11722,NaN,NaN,12045,NaN,12274,12426,12584,12830,12946,13075,13242,NaN,13447,13605,13764,14014,14214,14364,14528,14692,14851,NaN,NaN,15187,NaN,15414,15568,15731,15995,16112,16238,16403,16581,16751,16922,17042,17210,17449,17602,17766,17940,18099,NaN,NaN,18439,NaN,18679,18837,19000
