n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1992.3,2222.3,2358.5,2572.5,2758.7,2877.7,3088.5,3251.1,3387.6,3572.9,3728.5,3885.7,NaN,NaN,4230.6,NaN,4427.5,4582.3,4761.1,4989.4,5123,5239.7,5448.7,5596.8,5708.1,5899.4,6054,6225,NaN,NaN,6560.1,NaN,6755.2,6917,7084.7,NaN,NaN,7424.4,NaN,7621.1,7780.5,7956.1,8175.5,8306.2,8420.9,8642.9,8783.2,8897.2,9090.8,9246.1,9416.5,NaN,NaN
2062.3,2307.6,2466.5,2645.1,2829,2993.5,3164.1,3325.3,3504.5,3679.1,3836.5,NaN,NaN,4158.8,NaN,4377.8,4528.8,4679.6,4949.1,5068.3,5200.3,5363.4,5532.3,5670.4,5827.9,5996,6151.8,NaN,NaN,6484.2,NaN,6709.8,6864,7017.6,NaN,NaN,7343.4,NaN,7573.4,7727,7881,8134.1,8262.7,8390.1,8543.7,8730.3,8859.8,9018.9,9197.8,9344.7,NaN,NaN,9668.5
