-,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e
1502.5,1823.5,1970.2,2116,2279.6,2415.1,2740.2,2912.8,3045.4,3264,3437.2,3562.9,3752.4,3904.8,4062.8,NaN,NaN,4406,NaN,4601,4759,4955.7,5167.1,5291.7,5403.4,5603.9,5743.5,5859.8,6044.4,6198.2,6358.9,NaN,NaN,6688.8,NaN,6884.1,7041.1,7212.9,7430.9,7559.3,7671.4,7873.8,8017.6,8131.8,8314.9,8469.3,8637.2,NaN,NaN,8965.1,NaN,9160.1,9318.8,9491.2,9771.4,9903,10016,10210,10357,10470,10646,10801,10986,NaN,NaN,11338,11480,11594,11777,NaN,11972,12133,12304,12519,12646,12764
1538.8,1863.9,2032.6,2180.1,2348,2519,2802.3,2978.9,3153.9,3338.3,3512.6,3683.9,3859.3,4001.4,NaN,NaN,4315.4,NaN,4554.4,4708.4,4856,5131.6,5240.7,5370,5527.6,5675.7,5819.8,5982.2,6146.2,6296.9,NaN,NaN,6610.9,NaN,6839.6,6993.1,7140.7,7391.2,7506.5,7636.4,7789.9,7947.8,8095.1,8256.4,8420.7,8569.7,NaN,NaN,8890.7,NaN,9114.7,9265.6,9417.4,9669.5,9852.5,9982.4,10140,10288,10437,10592,10754,10901,NaN,NaN,11239,11412,11560,11716,NaN,11923,12081,12233,12482,12592,12721,12887
