n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,n,n,e
1536.6,1795.8,1962.1,2108.2,2547.3,2719,2845.2,3072.6,3241.6,3367.5,3553.8,3701.6,3847.2,NaN,NaN,4181.2,NaN,4371.3,4520.8,4688.1,4897,5022.3,5134.6,5331.7,5480.2,5644,5731.8,5985.6,NaN,6176.8,6330.9,6505.9,6724.2,6849,6965.6,7152.8,7305.1,7459.8,NaN,NaN,7783,NaN,7976.2,8132.2,8306.4,8522.2,8645,8757,8958.4,9104.6,9213.7,9392.5,9546.7,9710.5,NaN,NaN,10039,NaN,10233,10389,10572,10793,10917,11033,11228,NaN,11423,11582,11767,11986,12110,12221,12408,NaN,12602,12764,12945,NaN,NaN,13301,13434,13548,13735,13888,14081,NaN,NaN,14438,14607,14731,14950,15110,15221
1588.2,1852.5,2030.8,2170.4,2618.2,2787.7,2951.1,3143.3,3315.7,3480.6,3657.1,3796.9,NaN,NaN,4101.8,NaN,4323.5,4470.8,4616.4,4863.1,4966.3,5096.4,5256.9,5430.6,5578.1,5705.1,5885.8,NaN,6131,6279.5,6426.8,6686.1,6813.5,6922.2,7083.5,7254.3,7405.2,NaN,NaN,7725.5,NaN,7927.5,8078.7,8226.6,8480.6,8614.5,8720.3,8872.1,9025.2,9179.3,9332.8,9493.9,9646.5,NaN,NaN,9960.4,NaN,10186,10334,10486,10750,10866,10993,11149,NaN,11373,11530,11687,11946,12059,12184,12341,NaN,12554,12711,12860,NaN,NaN,13197,13381,13509,13675,13836,13989,NaN,NaN,14337,14510,14681,14852,15022,15184,15340
