n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n
1991.9,2158.8,2282.2,2548.8,2694.5,2816.4,3001.4,3153.3,3322.8,NaN,NaN,3650.9,NaN,3846.2,3998.8,4166.6,4385,4510.6,4626.2,4812.4,4968.3,5136.8,NaN,NaN,5484.7,NaN,5679,5837.3,6012.2,6229.6,6357.6,6468.1,6649.8,NaN,6845.2,7004.4,7201,NaN,NaN,7563,7708,7819.6,8004.2,NaN,8199.9,8358.4,8536.7,8834.5,8995.9,9112,9321.1
2058.2,2228.1,2387.3,2638.4,2772.6,2942.2,3106.2,3248,NaN,NaN,3578.9,NaN,3795.3,3947.8,4098.8,4351.2,4465.1,4585.7,4747.9,4915.5,5068.6,NaN,NaN,5395.9,NaN,5628.9,5783.1,5932.8,6191.6,6313.5,6435,6589.4,NaN,6798,6959.8,7100.6,NaN,NaN,7452.6,7634.3,7785.6,7944,NaN,8156,8303.9,8459.4,8715.3,8908.8,9076.6,9233.6,9395.5
