n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
2362.5,2529.8,2648.4,2869.5,3035,3152.1,3331,3480.7,3632.6,NaN,NaN,3954.2,NaN,4148.4,4301.9,4468.2,4681.4,4808.9,4922.1,5106.4,5258.9,5416.5,NaN,NaN,5740.7,NaN,5933,6087,6258.8,6473.2,6599.9,6715.6,6940.8
2432,2596.7,2754.5,2936.5,3108.5,3268.3,3429,3575.8,NaN,NaN,3882.7,NaN,4098.4,4249.7,4402.6,4644.5,4753.7,4879.8,5045.2,5206.8,5353.8,NaN,NaN,5654.2,NaN,5886.1,6031.4,6183.6,6436.1,6544.2,6674.9,6836.7,7008.9
