n,n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
1929.6,1998.8,2342.9,2515,2668.6,2926.2,3071.4,3233.9,3407.4,3549.7,3950.3,4141.7,4292.7,4522.6,4669.7,4790.6,4976.7,5130.9,5295,NaN,NaN,5623,NaN,5819.2,5971.9,6146.7,6364.1,6486.5,6601.5,6804.3,6966.1,7079.6,7259,7412.4,7583.1,NaN,NaN,7918.7,NaN,8113.8,8272.8,8459.6
1963.1,2041.9,2392.2,2576.8,2699.7,2979.6,3150.2,3299.7,3469.6,3653.1,4023,4210.2,4397.9,4610.8,4742,4912.2,5077.9,5227.8,NaN,NaN,5547.3,NaN,5769,5917.3,6068.3,6321,6432.3,6562.6,6720.8,6877.8,7042.3,7201.3,7364.9,7510.9,NaN,NaN,7840.2,NaN,8062.1,8221.2,8371.3,8499.7
