-,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e
1953.2,2406.5,2591,2755.1,2920.3,3086,3390.9,3572,3696.1,3934.6,4127.7,4250.2,4435.1,4582.6,4735.8,NaN,NaN,5077.4,NaN,5270.8,5424.1,5601.3,5815.5,5936.4,6045.9,6246.2,6391.5,6505.1,6693.5,6844.6,7000.7,NaN,NaN,7342.8,NaN,7533.5,7686.8,7855.4,8076.3,8200.3,8312.8,8511.7,8661.8,8774.1,8961.9,9112.4,9283.9,NaN,NaN,9625,NaN,9815,9968.6,10155,10375,10499,10611,10798,10964,11075,11258,11411,11578,NaN,NaN,11951,12103,12212,12413,12573,12691
2015.8,2449.9,2666.7,2820.1,2976.8,3188.7,3471.1,3639,3805.4,4005.7,4200.1,4370.9,4530,4679.1,NaN,NaN,4996.5,NaN,5224.4,5372.9,5513.9,5774.2,5884.3,6012.3,6164.5,6317.8,6465.9,6623.1,6798.2,6938.7,NaN,NaN,7256.6,NaN,7487.3,7638.5,7783.7,8031.9,8162.2,8273,8434.1,8581.5,8734.5,8892.6,9065,9208.5,NaN,NaN,9545.3,NaN,9768.4,9920.4,10067,10334,10443,10575,10731,10890,11042,11198,11361,11510,NaN,NaN,11836,12020,12182,12334,12487,12652,12809
