n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a
1928,2109.4,2288.6,2453.6,2592.4,2952.7,3127.6,3256.2,3519.1,3698.4,3822.7,4047.3,4205.2,4329.5,4513.4,4660.9,4822.3,NaN,NaN,5148.2,NaN,5344.4,5498.2,5660.6,5873.8,6000.4,6111.8,6312.7,6472.5,6583.2,6766.4,6917.1,7080.4,NaN,NaN,7405.2
1968.7,2174.4,2348.7,2513,2694.7,3018.8,3195.8,3364,3604.6,3767.2,3939.1,4137.6,4279.6,4447.9,4607.2,4756.3,NaN,NaN,5075.7,NaN,5296.3,5446.5,5594.4,5834.8,5946.8,6072.4,6231.1,6382.8,6549.1,6701.3,6870.4,7015.8,NaN,NaN,7334.3,7550.9
