n,n,n,n,n,e,n,n,e,n,n,e,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1101.5,1969,2117.9,2281.5,2429.5,2561.1,3169.8,3347.5,3479.8,3865.1,4045.4,4167.2,4426.4,4682.4,4868.2,4988.2,5870.7,6043.3,6169.7,6386.5,6567.9,6685,6867.3,7018.8,7173.9,NaN,NaN,7505.7,NaN,7700.7,7854.1,8035.4,8252.1,8376.2,8486.9,8702.2
1140.4,2027.2,2177.7,2341,2487.8,2665.1,3241.6,3416.2,3588.3,3933.3,4105.4,4275.8,4496.5,4759.7,4941.1,5119.1,5940.4,6116.5,6283.8,6462.1,6643.9,6806.7,6964.4,7114.2,NaN,NaN,7427.8,NaN,7651.1,7805.6,7954,8212.7,8322,8452.2,8608.1,8773.8
