n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1986.9,2166.7,2293,2704.4,2875.2,2992.2,3183.2,3332,3530.9,NaN,NaN,3926.3,4078.8,4201.4,4395.8,4544.8,4701.9,NaN,NaN,5168,5332,5449.2,5633.5,5786.3,5949.8,NaN,NaN,6280.7,NaN,6471.3,6624.3,6790.1,7001,7127.7,7235.8,7429.5,7578.3,7689,7905.3,8053.9,8172.5,8353.8,8506.9,8670.6,NaN,NaN,9005,NaN,9197.4,9354.4
2048.6,2235.9,2396.7,2772.3,2946.2,3108.1,3284.1,3424.6,NaN,NaN,3782.1,4000,4156.5,4321.4,4497.9,4641.2,NaN,NaN,4951.4,5246.4,5409.7,5569.2,5737.7,5882.1,NaN,NaN,6215.6,NaN,6423.9,6574.7,6720,6965,7075.8,7204.2,7356.4,7502.4,7654.4,7810.2,7984.6,8129.7,8298.8,8461.1,8604.4,NaN,NaN,8922.8,NaN,9149.9,9302.1,9451.6
