n,n,n,n,e,n,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g
1822.3,1987.8,2239.2,2402.5,2545.6,2882.9,3016.7,3177.1,3298.2,3523.2,3793.6,3972.4,4106.2,4299.7,4452,4607.3,NaN,NaN,4944.3,NaN,5142,5302.8,5472.2,5688.5,5814.6,5928.1,6130.9,6271.2,6383.1,6571.6,6725.8,6890,NaN,NaN,7220.3,NaN,7419,7576.3,7747.3,7962.4,8087.8,8200.3,8378.5,NaN,8573.2,8732.9,8906,NaN,NaN,9246,9375.8,9487.3,9678,9832.9,10076,NaN,NaN,10431,10570,10684,10883,11028,11146,11330,NaN,11524,11685,11852,12075,12196,12310,12510,12670,12784,12966,13122,13295,NaN,NaN,13631,NaN,13824,13979,14160,NaN,NaN,14527,14662,14775,14964,NaN,15161,15323,15509,15730,15859,15974,16171,NaN,16367,16526,16700,NaN,NaN,17062,17218,17337,17524,NaN,17722,17884,18095,NaN,NaN,18461,18641,18763,18947,NaN,19151,19315,19489,NaN,NaN,19869,NaN,20068,20229,20399
1885,2039.5,2331.4,2468.5,2648.1,2943.2,3090.5,3247.3,3407.6,3591.2,3870.7,4047.8,4224.2,4395.1,4542.8,NaN,NaN,4859.1,NaN,5090.7,5247.1,5399.4,5645.1,5777.4,5891.7,6051.2,6203.2,6347.5,6508.5,6688.4,6834.8,NaN,NaN,7143.8,NaN,7367.1,7519.6,7671.8,7922.2,8035,8164.1,8323.2,NaN,8526.2,8679.2,8838.3,NaN,NaN,9159.8,9314.6,9452.9,9612,9769.7,9930.3,NaN,NaN,10329,10505,10649,10805,10957,11107,11268,NaN,11476,11632,11781,12030,12146,12273,12433,12586,12749,12905,13072,13222,NaN,NaN,13552,NaN,13777,13923,14078,NaN,NaN,14412,14600,14742,14902,NaN,15108,15268,15420,15686,15804,15936,16095,NaN,16317,16468,16625,NaN,NaN,16962,17133,17295,17457,NaN,17667,17825,17979,NaN,NaN,18350,18533,18723,18886,NaN,19095,19250,19415,NaN,NaN,19750,NaN,20014,20169,20338,20514
