n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1991.8,2160.2,2280.6,2485.2,2636.2,2762.6,2943.4,3094.1,3255.4,NaN,NaN,3579.8,NaN,3770.8,3923.8,4094,4303.9,4423.6,4537,4733.8,4866.2,4980.1,5156.4,5309.7,5465.8,NaN,NaN,5790.3,NaN,5983.3,6136,6305.7,6519.4,6644.4,6755.5,6935,7086.8,7260.1,NaN,NaN,7607.8,NaN,7801.5,7956,8133,8348.2,8470.8,8585,8761.2,NaN,8954.9,9113.7,9287,NaN,NaN
2058.2,2229.2,2386.9,2574.3,2712,2880.3,3044.7,3189.2,NaN,NaN,3514.5,NaN,3725.8,3875,4021.3,4270.3,4375.6,4495.5,4658,4810.2,4945.2,5098.8,5255.3,5406.2,NaN,NaN,5714.2,NaN,5936.1,6086.9,6236.4,6483.7,6593.1,6722.4,6878.7,7039.6,7186.5,NaN,NaN,7515.6,NaN,7751.9,7903.8,8059.3,8311.9,8423.2,8548.9,8708.3,NaN,8906.9,9066.6,9208.3,NaN,NaN,9533
