n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n
1855.4,1971.4,2129.4,2298.2,2431.3,2691.9,2850.2,2971.7,3160.3,3311.7,3476.1,NaN,NaN,3817.2,NaN,4021.1,4174.8,4466.3,4612.2,4725.8,4919.3,5072.3,5244.2,NaN,NaN,5581.1,NaN,5776.1,5930.5,6112.1,6327.1,6457.5,6570.3,6749.7,NaN,6946.8,7106.3,7290.4,NaN,NaN,7635.2,NaN,7832.1,7994.7,8169,8488.7
1895.3,2044.2,2201.8,2363.7,2541,2764.9,2927.2,3091.6,3258.3,3410.5,NaN,NaN,3734.3,NaN,3962.2,4120.9,4274,4536.7,4688,4849.3,5019.4,5172.1,NaN,NaN,5502.8,NaN,5730,5875.9,6032.7,6289.1,6404.8,6539.4,6691.2,NaN,6898.3,7057.9,7209.9,NaN,NaN,7550.5,NaN,7780.8,7938.8,8091.6,8350.7,8559
