n,n,n,n,e,n,n,e,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1831.6,1976.6,2135,2290.6,2419.6,2730.5,2910.5,3035.4,3262.8,3433.4,3641.9,3809.2,3928.3,4111.7,4267.5,4443.7,NaN,NaN,4780.2,NaN,4979,5134.3,5317.1,5534.5,5663.8,5777,5965.4,6120.4,6287.6,NaN,NaN,6652.2,NaN,6849.5,7008.8,7183.7,7406,7532.1,7644.7,7858.2,8010.2,8121.3,8359.4,8511.1,8683.8,8904.3,9030.1,9141.6,9341.1,9481.1,9593,9786.2,9941.9,10117,NaN,NaN,10454,NaN,10653,10808,10980,11199,11324,11436,11624,NaN,11821,11978,12182,NaN,NaN,12542,12672,12788,12999,13141,13264,13461,NaN,13656,13814,13983,14204,14334,14448,14637,NaN,14840,14998,15167,NaN,NaN
1872.2,2057.8,2180.8,2344.3,2522.1,2801.5,2973.6,3141.6,3328.1,3504.6,3716.5,3885.8,4049.6,4211,4364.4,NaN,NaN,4697.9,NaN,4929,5078.6,5235.6,5494.7,5609.9,5736.5,5898.9,6067.7,6216.2,NaN,NaN,6545.4,NaN,6798.2,6957.3,7108.7,7363,7477.8,7605.1,7769.3,7931,8083.6,8248,8453.8,8611.9,8862.4,8978.2,9104.4,9263.6,9413.3,9555.1,9716.8,9891.2,10038,NaN,NaN,10375,NaN,10603,10755,10908,11161,11274,11401,11559,NaN,11772,11922,12078,NaN,NaN,12434,12612,12746,12907,13069,13215,13388,NaN,13608,13760,13915,14161,14278,14408,14571,NaN,14786,14942,15107,NaN,NaN,15421
