n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
2231.6,2360.6,2710.1,2885.7,3005.8,3327.1,3498.2,3617.4,3801.5,3952.5,4107.5,NaN,NaN,4427.8,NaN,4618.4,4771.8,4937.2,5151.2,5274.9,5384.8,5583.7,5733.5,5843.3,6024.6,6177.5,6338,NaN,NaN,6659.4,NaN,6850,7009.1,7191.8,7403.8,7528.7,7639.5,7844,7989.6,8103,8286.5,8439.1,8609.2,NaN,NaN,8966.5,9122.8,9234.3,9424.6,9577.8,9766.1,NaN,NaN,10148,10302,10420,10633,10780,10893,11074,11229,11420,NaN,NaN,11764,NaN,11957,12126,12307,12523,12655,12775
2304.9,2470.3,2787.8,2955.7,3122.5,3401.5,3572.9,3734.9,3904.3,4048.5,NaN,NaN,4362.2,NaN,4571.2,4720.8,4865.7,5113.4,5223.6,5348.8,5508.6,5653.1,5803.6,5962.2,6125.7,6275.9,NaN,NaN,6590,NaN,6806.2,6958.1,7105.9,7364.7,7476.5,7604.1,7759,7928.2,8067,8221,8388.5,8538.1,NaN,NaN,8867.3,9035.7,9202.6,9357,9524.9,9677.5,NaN,NaN,10023,10214,10381,10541,10706,10854,11012,11176,11329,NaN,NaN,11672,NaN,11907,12057,12227,12485,12597,12733,12894
