n,n,n,n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x
1968.2,2154,2341.3,2569.1,2744.2,3085.3,3236.9,3396.6,3709.3,3832.3,4057.1,4193.4,4429.4,4654.6,4777.8,4973.6,5134.8,5290.5,NaN,NaN,5629.4,NaN,5830.4,5990.3,6169.4,6475.8,6635.6,6748.4,6936.7,7096.7,7258.8,NaN,NaN,7603.2,NaN,7804.9,7962.2,8137.8,8362,8491.6,8606.8,8816,8956.3,9071.7,9261.7,9419.5,9581.4,NaN,NaN,9934,NaN,10137,10297,10476,10697,10830,10943,11123,NaN,11325,11485,11675,11897,12027,12142,12328,NaN,12531,12697,12865,13095,13227,13349,13557,13691,13804,13989,14149,14339,14564,14696,14812,15002,NaN,15205,15369,15554,15778,15907,16023,16208,NaN,16412,16577,16754,16981,17115,17231,17418,NaN,17620,17785
2026.8,2223.6,2396.6,2649,2795.6,3155.6,3324.3,3462.9,3801,3938.8,4122.7,4304.5,4498.7,4727.7,4897.4,5074.9,5234.3,NaN,NaN,5561.6,NaN,5784.6,5938.1,6091.3,6349.2,6552.3,6713.8,6873.8,7034.7,7197.9,NaN,NaN,7526.1,NaN,7754.8,7910.7,8064.6,8317.8,8434.2,8569.9,8729.4,8901.8,9036,9196.7,9366.4,9523.2,NaN,NaN,9840.6,NaN,10080,10244,10396,10661,10773,10910,11070,NaN,11275,11423,11587,11855,11969,12100,12265,NaN,12479,12634,12798,13049,13170,13308,13477,13631,13764,13929,14113,14255,14523,14650,14775,14940,NaN,15151,15312,15478,15736,15865,15986,16144,NaN,16363,16522,16681,16945,17057,17194,17358,NaN,17569,17731,17892
