g,n,-,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e
1442.8,1639.3,1969.9,2818.9,2983.4,3138.1,3307.5,3432.1,3690.5,3869.9,3993.6,4220.1,4371.3,4525.9,NaN,NaN,4854.9,NaN,5048.6,5200.5,5371.4,5589.4,5718.2,5832.3,6017.6,6170.1,6328.8,NaN,NaN,6655.8,NaN,6850.1,7005.9,7172.1,7387.3,7514.5,7629.4,7810.5,NaN,8007.2,8167.4,8340.3,8558.7,8687.7,8799.7,9002,9141.1,9252.5,9429.1,9584.8,9763.2,NaN,NaN,10095,NaN,10290,10448,10633,10852,10977,11094,11276,NaN,11472,11628,11799,NaN,NaN,12167,12334,12450,12645,12799,12993,13215,13339,13453,13636,NaN,13835,14002,14231,NaN,NaN,14591,14737,14859,15089,15270,15390,15585,NaN,15785,15941,16113,16428,16581,16705,16896,NaN,17101,17262,17458,NaN,NaN,17833,18000,18118,18318,NaN,18515,18676,18865,19090,19220,19335
1524.5,1700.2,2031.8,2878.4,3056.4,3210.8,3376.8,3535.2,3766.4,3944,4116,4322.9,4467.2,NaN,NaN,4781.3,NaN,5005.7,5147.2,5299,5549,5662.9,5794.9,5958.5,6119.4,6267.8,NaN,NaN,6582.8,NaN,6801.2,6951.6,7107.7,7352.1,7463.2,7589.4,7756.2,NaN,7962.2,8112.5,8267.1,8521.1,8630.6,8761.2,8918.8,9070.2,9215.4,9371.6,9535,9682.8,NaN,NaN,10021,NaN,10241,10398,10548,10812,10934,11055,11212,NaN,11426,11576,11728,NaN,NaN,12053,12236,12412,12574,12749,12898,13172,13305,13416,13578,NaN,13786,13942,14101,NaN,NaN,14486,14668,14815,14979,15161,15348,15513,NaN,15731,15884,16037,16295,16500,16655,16828,NaN,17048,17204,17361,NaN,NaN,17718,17904,18077,18239,NaN,18466,18621,18776,19044,19161,19295,19455
