n,n,n,n,n,n,n,n,n,n,n,n,n,n,e,n,n,e,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1966.7,2148,2444.2,3107.1,3241.7,3428.6,3586.1,3717.9,4081.2,4573.8,4716.1,4875.1,5132,5295.9,5435.8,5712,5899.3,6029.9,6258.3,6560.9,6756.9,6910.4,7070,NaN,NaN,7409.4,NaN,7613.4,7771,7946.8,8169.7,8295.5,8410,8615.8,8763.8,8880.9,9066.8,9223.7,9391.3,NaN,NaN,9738.8,NaN,9939.2,10096,10274,NaN,NaN,10629,10768,10882,11090,11230,11347,11531,11685,11851,NaN,NaN,12191,NaN,12390,12550,12738,12960,13082,13198,13378,NaN,13578,13737,13915,NaN,NaN,14282,14545,14686,14800,15007,15152,15262,15447,NaN,15648,15804,15974,16211,16337,16450,16644,NaN,16835,17005,17205,NaN,NaN,17537,NaN,17739,17900,18248,18412,18527,18766,18958,19075,19258,NaN,19461,19621,19800,NaN,NaN,20197,20435,20582,20697,20887,21046,21270,NaN,NaN,21621,NaN,21823,21989,22152,22382,22514,22629,22815,NaN,23018,23181,23359,23591,23717,23831,24017,NaN,24223,24386,24578,NaN,NaN,24936
2038,2362.8,2523.2,3159.8,3307.4,3501.6,3654.6,3790.3,4193.2,4636.1,4789,4936.9,5204.4,5351.2,5551.5,5783.6,5970,6139.8,6512.1,6678.5,6857.3,7020.2,NaN,NaN,7329.4,NaN,7559.4,7716.2,7871.5,8130,8256.3,8374,8532.7,8690.9,8844.4,9005.1,9175.3,9336,NaN,NaN,9648.1,NaN,9887.1,10045,10216,NaN,NaN,10538,10720,10850,11019,11176,11313,11465,11631,11793,NaN,NaN,12111,NaN,12340,12494,12660,12921,13039,13159,13319,NaN,13528,13684,13849,NaN,NaN,14205,14353,14615,14766,14933,15099,15226,15408,NaN,15599,15770,15920,16161,16305,16419,16578,NaN,16792,16964,17118,NaN,NaN,17471,NaN,17681,17861,18016,18332,18492,18652,18837,19035,19190,NaN,19410,19585,19733,NaN,NaN,20071,20266,20509,20663,20820,20986,21168,NaN,NaN,21534,NaN,21768,21927,22101,22336,22470,22595,22763,NaN,22966,23123,23292,23540,23670,23796,23960,NaN,24168,24345,24498,NaN,NaN,24841,25009
