n,n,n,n,n,n,e,n,n,e,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1954,2122.8,2426,2614.2,2767.9,2934.8,3055.6,3287.3,3416.6,3569.3,3903.4,4172.6,4370.5,4523.2,4678.1,NaN,NaN,5038.6,NaN,5231.5,5383.3,5549.1,5821.4,5961.7,6076.2,6261.1,6414.5,6576.3,NaN,NaN,6930.9,NaN,7125.6,7280.6,7450.7,7678.3,7839.1,7985.6,8094.8,8276.3,8433.4,8591.1,8808.8,8932.4,9044.6,9226.5,NaN,9420.3,9578.6,9752.2,9975.3,10104,10218,10397,NaN,10594,10750,10913,11226,11376,11488,11687,11845,11954,12141,12295,12467,NaN,NaN,12792,NaN,12987,13145
2015.9,2190.9,2499.2,2695.8,2836.9,3003.1,3165.3,3359.3,3516.8,3690.1,4123.8,4295.1,4474.1,4619,NaN,NaN,4926.8,NaN,5183.9,5329.3,5481.6,5726,5899.2,6044.2,6204.2,6366.3,6514.8,NaN,NaN,6868.2,NaN,7078.3,7222.2,7377.7,7633.6,7732.5,7912.2,8064.3,8218,8379.6,8533.2,8768.5,8884.6,9007.2,9170.1,NaN,9376,9526.9,9678.7,9935.2,10050,10180,10340,NaN,10548,10700,10843,11093,11296,11452,11614,11761,11923,12078,12247,12397,NaN,NaN,12722,NaN,12942,13093,13245
