n,n,n,n,n,n,n,n,e,n,n,e,c,x,n,e,a,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n
1813.6,1970.4,2198.7,2356.4,3204.2,3379.6,3796.2,3974.8,4099.3,4335.8,4521.4,4647.9,4841.4,4995.6,5161.1,5253.3,5513.3,5838.1,6004.1,6120.3,6310.9,6466.1,6632.8,NaN,NaN,6974.4,NaN,7170.5,7332,7501.4,7725.2,7853.5,7974.5,8180.3,8327.5,8440.4,8631.6,8785.4,8952,NaN,NaN,9283.4,NaN,9480.1,9638.7,9835.8,10051,10181,10299,10509,10662,10775,10975,11130,11306
1870.5,2019.5,2287.2,2407.9,3266.4,3441.1,3874.1,4045.8,4210.1,4405.9,4595.4,4760.8,4942.5,5094.4,5226.5,5406.7,5664,5908.3,6082.8,6245.5,6414.7,6563.4,NaN,NaN,6883.5,NaN,7121.7,7274.8,7434.1,7681.1,7796.8,7928.8,8094.9,8253.6,8405.7,8558.7,8737.2,8883.8,NaN,NaN,9207.2,NaN,9429.2,9581.9,9747.8,10013,10124,10257,10421,10579,10740,10898,11080,11228,11377
