n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1696.5,1854.7,1948.2,2150.4,2411.1,2718.1,2889.2,3010.9,3247.9,3423.2,3547.6,3733.3,3883.7,4037.6,NaN,NaN,4358.9,NaN,4553,4709.7,4874.3,5165.4,5775.3,5926.4,6043.7,6253.8,6402,6517,6700.7,6853.6,7011.2,NaN,NaN,7335.1,NaN,7529.1,7681.7,7852.7,8067.1,8194.2,8311.5,8513.6,8657.9,8767.5,8949.2,9101.5,9258.4,NaN,NaN,9585.3,NaN,9779.6,9935.1,10106,10327,10452,10565,10748,10901,11062,NaN,NaN,11402,NaN,11597,11756,11924,12138,12263,12377,12559,NaN,12755,12911,13079,NaN,NaN,13430
1728.5,1908.2,2061.1,2204.6,2481.5,2790,2956.7,3118.9,3320.2,3495.7,3669.2,3828.2,3980.8,NaN,NaN,4297.1,NaN,4503.5,4660.7,4810.3,5045.3,5237.6,5834.1,6001.8,6161.6,6325.8,6475,6636.7,6802.7,6950.3,NaN,NaN,7261.2,NaN,7478.9,7627.6,7786.7,8025.3,8140.5,8268.3,8428.4,8598.1,8738.9,8877.8,9054.2,9211.2,NaN,NaN,9514.6,NaN,9730.9,9876.4,10033,10284,10401,10531,10681,10852,11002,NaN,NaN,11319,NaN,11548,11692,11856,12097,12210,12341,12501,NaN,12704,12859,13010,NaN,NaN,13349,13499
