g,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x
1793.1,1962.7,2206.6,2357.7,2648,2827.6,2955.8,3197.7,3384.7,3532,3758.7,3931.3,4056.3,4246.7,4400.3,4565.3,NaN,NaN,4892.7,NaN,5090,5254.3,5468.7,5687.5,5810.5,5923.9,6129,6267.6,6382.6,6568.7,6724.2,6901.5,NaN,NaN,7230.4,NaN,7425.8,7587.8,7755,NaN,NaN,8090.9,NaN,8286.9,8446.3,8627.2,8848.7,8973.3,9087.3,9298,9442.9,9558.5,9741.2,9901.2
1825,2030.3,2274.1,2428.6,2718.3,2900.8,3059.4,3266.4,3459.9,3647,3829.2,4009.6,4174.2,4349.3,4496.7,NaN,NaN,4824.6,NaN,5042.1,5195.6,5354,5642.7,5763.3,5887.6,6048.2,6217,6343.5,6507.8,6669.4,6825.6,NaN,NaN,7163,NaN,7375.5,7528.8,7689.8,NaN,NaN,8013.8,NaN,8232.5,8384.6,8548.8,8806.6,8922.4,9052,9209,9373.7,9519.6,9676.7,9847,10000
