n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,d,m,p,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a
1988.7,2448.2,2664.5,2793.3,3052.6,3244.2,3385.2,3594.8,3754.4,3873.7,4063,4220.7,4379,NaN,NaN,4719.7,NaN,4918.5,5078.7,5256.5,5479.3,5607.5,5723.9,5921.8,6087.1,NaN,NaN,6396.2,6558.7,6723.5,NaN,NaN,7054.6,NaN,7254.6,7413.7,7607.1,7832.4,7962.1,8074.3,8263.6,NaN,8461.9,8625.1,8804.3,NaN,NaN,9137.8,NaN,9337.1,9496.2,9664.3,9884.5,10012,10126,10309,NaN,10510,10674,10849,11073,11205,11318,11505,NaN,11706,11870,12046,NaN,NaN,12383,NaN,12585,12749,12917,13144,13272,13390,13596,13746,13862,14052
2059.4,2524.3,2729.9,2902,3125.1,3320,3504.9,3676.8,3831.2,4001.9,4167.8,4321.1,NaN,NaN,4665.2,NaN,4872.8,5019.3,5184.2,5442.2,5570.2,5681.2,5859.6,5997.1,NaN,NaN,6337.8,6514.8,6665.4,NaN,NaN,6992.1,NaN,7204.9,7359.5,7512.8,7790.4,7908.8,8035.5,8198.5,NaN,8411.2,8565.5,8728.5,NaN,NaN,9062.9,NaN,9288.5,9445.4,9607.5,9844.3,9968.7,10092,10266,NaN,10459,10613,10789,11035,11159,11284,11442,NaN,11657,11833,11981,NaN,NaN,12308,NaN,12534,12692,12850,13100,13226,13355,13527,13671,13822,13985,14185
