n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,n,e,c,x,d,m,p,a,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e
1594.8,1787,1970.9,2124.5,2290.8,3101.1,3255.8,3387.2,3600,3761.1,3882.6,4069.6,4221.2,4376,NaN,NaN,4716.1,NaN,4910.8,5061.8,5228.8,5450.3,5573.1,5686.7,5891.2,6029.8,6145.4,6327.2,6483.5,6634.8,NaN,NaN,6971.1,NaN,7168.9,7326.3,7517.1,7829.1,7948.8,8233.9,8382,8491.6,8668.9,8823.2,8978.5,NaN,NaN,9303.8,9808.1,9947.6,10059,10244,10397,10559,NaN,NaN,10883,NaN,11078,11233,11396,11612,11736,11846,12027,NaN,12222,12380,12541,NaN,NaN,12887,13021,13131,13311,13465,13625,13841,13967,14080,14256,NaN,14452,14613,14815,NaN,NaN,15172,15321,15435,15622,NaN,15819,15977,16151,16374,16500,16613,16812,NaN,17009,17171,17368,NaN,NaN,17737,17903,18018
1632.4,1832,2044.9,2187,2322.8,3169,3326.8,3492.6,3672.7,3838.1,4004.6,4172.4,4319.9,NaN,NaN,4637.2,NaN,4860.7,5009.7,5159.1,5406.8,5522.5,5650.8,5809.7,5968.2,6106.4,6267.6,6430.5,6589.4,NaN,NaN,6914.7,NaN,7120.8,7286.7,7428.3,7698.6,7906.7,8054.3,8311.9,8459.5,8619.2,8771.3,8925.7,NaN,NaN,9243.3,9451.7,9882.4,10027,10186,10347,10494,NaN,NaN,10811,NaN,11030,11179,11329,11572,11684,11814,11964,NaN,12178,12331,12480,NaN,NaN,12800,12962,13097,13257,13418,13563,13801,13929,14046,14201,NaN,14407,14561,14715,NaN,NaN,15072,15243,15399,15559,NaN,15774,15918,16081,16337,16448,16580,16734,NaN,16964,17113,17270,NaN,NaN,17628,17807,17979,18138
