n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
4712.2,4902.9,5036.3,5200.1,5338.3,5624.4,5796.8,5910.3,6105.9,6254.6,6406.7,NaN,NaN,6732.1,NaN,6926.9,7077.2,7247,7467.1,7590,7700.5,7972.9,8111.7,8221,8404.3,8555.5,8713.9,NaN,NaN,9034.6,NaN,9226.9,9379.3,9531.2,9746,9869.1,9977,10167,10324,10434,10614,10766,10919,NaN,NaN,11245,NaN,11436,11593,11760,11973,12094,12201,12379,NaN,12572,12726
4758,4970.3,5106.4,5262.2,5445.3,5696.2,5866.4,6024,6205,6351.2,NaN,NaN,6656.9,NaN,6876.4,7025.4,7176.4,7422.8,7538.8,7662.4,7821.5,8043,8185.4,8345.2,8508.5,8653.5,NaN,NaN,8961.9,NaN,9179.8,9328.5,9471.8,9709.2,9817.6,9942.3,10094,10239,10400,10554,10722,10874,NaN,NaN,11173,NaN,11389,11536,11689,11935,12055,12167,12322,NaN,12525,12666,12829
