n,n,e,-,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n
1990.7,2154.2,2301,2654,3004,3184.3,3302.1,3491.5,3647.3,3816.6,NaN,NaN,4155.4,NaN,4350.2,4506.8,4674.2,4889.2,5016.9,5130.8,5490.5,5656.4,5773.8,5957,6110.3,6270.5,NaN,NaN,6601.1,NaN,6797.3,6951.7,7129.2,7348.8,7474.2,7585.5,7793.3,7954,8068.3,8252,8406.6,8570.4,NaN,NaN,8895.7,NaN,9092.4,9250.9,9423.8,9644.4
2055.3,2216.3,2407.1,2728.4,3080.3,3252.4,3418.6,3594.5,3745.6,NaN,NaN,4072.8,NaN,4304.2,4451.2,4602.4,4851.6,4962.9,5091.3,5253.9,5559.2,5732.9,5894.3,6060.8,6207.6,NaN,NaN,6521,NaN,6744.8,6897.3,7050.6,7310.8,7422,7553.1,7702.8,7865.4,8030.3,8190,8358.7,8504.6,NaN,NaN,8824.3,NaN,9043.1,9195.3,9348.1,9601.6,9681.9
