n,n,n,n,n,e,-,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,e
1784.3,1962.4,2125.8,2377.5,2547.9,2665.2,2926.6,3335.7,3496.4,3606.7,3804.7,3959.1,4114.2,NaN,NaN,4458.9,NaN,4655.4,4808.7,4976.9,5195.4,5327.2,5438.3,5625.2,5774.4,5929.8,NaN,NaN,6257.8,NaN,6451.6,6614.5,6778.4,6992.4,7122.2,7234.3,7437.4,7576.4,7693.7,7899.8,8050.8,8218.1
1829.1,2027.9,2182.9,2442,2610.7,2771,2992.5,3405,3566.9,3730.8,3904.2,4055.4,NaN,NaN,4364.8,NaN,4605.4,4757.8,4901.8,5149.9,5269,5400.8,5563.8,5724.5,5870.8,NaN,NaN,6182.7,NaN,6404.3,6554.3,6711,6954.6,7064.7,7192.4,7354.1,7533.2,7650.5,7815,7992.3,8150.1,8365
