n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g
1991.1,2174.1,2309.8,2542.6,2740.6,2868.7,3078.7,3269.5,3389.6,3586.9,3740.6,3897.6,NaN,NaN,4233.8,NaN,4434.9,4595.2,4763.5,4988.2,5117.6,5231,5443,5592.1,5708.1,5905.2,6063.1,6223.4,NaN,NaN,6555.9,NaN,6757.3,6920,7088.1,7312.3,7444.6,7562.2,7748.7,NaN,7950.8,8111.5,8295.6,8521.6,8650.4,8773,8969.9,NaN,9170.2,9330.3,9501.4,NaN,NaN,9846.1,NaN,10050,10210,10381,10611,10741,10860,11048,NaN,11249,11414,11586
2060.9,2241.9,2420.9,2617.5,2811.7,2990.5,3157.5,3347,3509.9,3692.1,3841,NaN,NaN,4163.2,NaN,4383.8,4539.9,4701.2,4945.4,5061.4,5193.5,5353.4,5531.9,5671.7,5831.7,6027.2,6168.3,NaN,NaN,6486.7,NaN,6707.3,6881.3,7029.5,7274.9,7400.9,7529.4,7677.4,NaN,7902.3,8075.5,8229.9,8482.8,8607,8735.7,8895.5,NaN,9120.5,9277.8,9444.5,NaN,NaN,9762.8,NaN,9997.8,10171,10319,10567,10696,10824,10997,NaN,11199,11359,11526,11772
