g,n,n,n,n,n,n,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,n,n,e,c,x,d,m,p,a
1807.1,1952.3,2103.9,2264.3,2447.5,2739.4,2916.3,3038.8,4765,4937.9,5062.2,5386.7,5542.5,5657.9,5850.7,6009.5,6174.4,NaN,NaN,6506.1,NaN,6705.6,6863.2,7037.3,7257.5,7383.1,7499.8,7698.5,7839.1,7953,8139.2,8295.8,8462.8,NaN,NaN,8797.8,NaN,9002.4,9162.3,9335,9561.6,9689.4,9803,9986.5,10146,10318,NaN,NaN,10676,10816,10941,11136,11293,11470,11886,12041,12157,12364,12520,12638,12832,NaN,13035,13195,13385,NaN,NaN,13758,13917,14031,14217,NaN,14419,14579,15418,15566,15680,15871,16028,16218,NaN,NaN,16567
1848.6,2018.2,2163.3,2348.4,2510.3,2810.8,2980.9,3207.4,4835.6,5005.8,5174.4,5458.9,5616.1,5777.2,5955.2,6108.9,NaN,NaN,6432.9,NaN,6652.8,6820.6,6961.6,7220.4,7343.4,7456.3,7624.3,7773.8,7914.5,8076.1,8263.5,8396.2,NaN,NaN,8723.7,NaN,8949.7,9126.2,9264.2,9519.9,9639.2,9763.4,9934.6,10091,10244,NaN,NaN,10576,10746,10890,11063,11239,11396,11656,11959,12118,12280,12438,12607,12758,NaN,12982,13142,13292,NaN,NaN,13644,13830,13991,14157,NaN,14367,14523,14680,15496,15639,15805,15972,16130,NaN,NaN,16477,16712
