n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n
2614.6,2824.4,3033.2,3654.4,3840,3958.5,4181.3,4395,4520.8,4716.2,4871.3,5032,NaN,NaN,5366.6,NaN,5563.9,5722.8,5892.7,6114.4,6240,6355.3,6551.3,6708.2,6823.1,7009.3,7163.3,7327.2,NaN,NaN,7656.2,NaN,7854.2,8015.3,8197.9,8417,8545.9,8659.4,8868.1,9008.6,9122.3,9330,9484.7,9599.5,9777.7,9932.7,10101,NaN,NaN,10459,10609,10723,10911,11069,11239,NaN,NaN,11575,NaN,11774,11932,12108,12326,12455,12569,12792,12973,13090,13285,NaN,13483,13643,13831,NaN,NaN,14188,14337,14455,14643,NaN,14842,15004,15191,15420,15552,15670,15882,16041,16159,16371,16549,16671,16865,17024,17230,NaN,NaN,17576,NaN,17773,17936,18146,NaN,NaN,18539
2717,2892,3113.4,3728.1,3914.3,4070.4,4256.3,4471.8,4647.4,4820,4969.3,NaN,NaN,5292.9,NaN,5517.1,5681.8,5818.2,6073,6207.3,6316.3,6469.8,6627.6,6788.6,6957.6,7131.2,7264.6,NaN,NaN,7587.3,NaN,7807,7962.9,8117,8382.2,8510.3,8624,8783.8,8959.8,9082.8,9248.2,9406.6,9565.9,9723,9900.1,10034,NaN,NaN,10361,10548,10691,10851,11039,11174,NaN,NaN,11509,NaN,11724,11874,12037,12290,12403,12531,12685,12868,13060,13218,NaN,13432,13592,13748,NaN,NaN,14094,14276,14415,14582,NaN,14792,14953,15108,15379,15499,15629,15797,15970,16118,16283,16448,16629,16796,16972,17126,NaN,NaN,17495,NaN,17726,17878,18039,NaN,NaN,18409,18618
