n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
3018,3176.9,3306.2,3553.8,3722.1,3834.2,4022.3,4170.7,4334.9,NaN,NaN,4655.7,NaN,4846.1,4996,5155.1,5370.9,5493,5602.6,5810,5951.6,6063.4,6255.5,6403.1,6595.4,NaN,NaN,6914.7,NaN,7104.9,7258.6,7418.5,7634.3,7759.4,7870.8,8099.4,8257,8368.8,8707.9,8844.7,8958.7,9139.6,9288.1,9444.1,NaN,NaN,9767.1,NaN,9959.5,10118,10300,10521,10643,10752
3124.3,3242.1,3414.5,3623.6,3797.3,3951.5,4121.9,4267.1,NaN,NaN,4573.3,NaN,4802,4947.8,5090.3,5329.5,5446.5,5563.4,5719.8,5891.9,6024.7,6182.6,6349,6499.4,NaN,NaN,6833.9,NaN,7056.9,7211,7354.9,7597.9,7709.7,7833.7,7988.7,8169,8329.6,8489.6,8775,8917.1,9076.5,9241.1,9386.2,NaN,NaN,9700.7,NaN,9911.1,10064,10213,10478,10595,10717,10871
