n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,x,g,n,n,e,a,b,c,x,g,n
2603.2,2752.8,2906.8,3074.2,3432.5,3575.6,3733.3,3868.6,4169.7,4346.4,4476.9,4701.1,4883.4,5007.7,5199.4,5356.3,5516.6,NaN,NaN,5853.5,6343.1,6497.5,6612.1,6802.6,6962.1,7148.5,NaN,NaN,7497.8,NaN,7694.8,7859.2,8035.8,8349.6,8488.7,8602.1,8789.4,8942,9102.9,9322.5,9445.1,9561.3,9769.2,9914.2,10029,10219,10372,10535,NaN,NaN,10859,11214,11399,11618,11739,11853,12037,NaN,12233,12393,12578,12906
2663.6,2826.3,2984.7,3123.8,3504.4,3637.3,3797.1,3970.2,4255.7,4419,4583,4770.9,4958.5,5126.2,5306.2,5455.8,NaN,NaN,5775.1,5997.5,6416.7,6574.1,6732.2,6907.7,7061.8,NaN,NaN,7405.7,NaN,7642.7,7785.7,7957.4,8210.6,8422.2,8565.3,8721.9,8885.5,9040.1,9278.6,9395.3,9524.5,9678.8,9841.5,9994,10149,10320,10468,NaN,NaN,10790,11161,11314,11580,11690,11818,11975,NaN,12184,12338,12494,12758,12962
