n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c
1955.8,2115,2234.2,2463.7,2618.4,2742.1,2938.6,3087.6,3243.5,NaN,NaN,3590.4,NaN,3781,3929.5,4101.8,4314.6,4439.2,4548.9,4725.4,4879.3,5037,NaN,NaN,5357.3,NaN,5551.8,5705.8,5875.6,6093.7,6221.4,6331.7,6511.3,NaN,6704.9
2023.8,2178.3,2340,2528.3,2690.9,2863.6,3040.2,3183.1,NaN,NaN,3500.5,NaN,3732.8,3882.9,4022.7,4275.7,4386.7,4518,4675.1,4831,4979.2,NaN,NaN,5293,NaN,5502.3,5656.7,5806,6049.8,6168.2,6297.7,6452,NaN,6658,6772.1
