-,c,O,g,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n
1021.4,1897.3,1986.6,2260.2,2428.8,2588,2786.6,2964.6,3120.2,3257.9,3609.4,3775.8,3888.4,4077.8,4228.7,4383.1,NaN,NaN,4706.3,NaN,4901.4,5057.7,5223.2,5441.2,5567.2,5680.5,5883.1,6022.3,6138.2,6349
1057.7,1928.1,2023.2,2348.1,2492.6,2638.1,2873.7,3031.2,3189.1,3364.2,3680,3849.8,4011.9,4170.9,4329.2,NaN,NaN,4640.6,NaN,4853.4,5000,5156.1,5403.9,5528.9,5641.3,5802.9,5955.1,6098.8,6260.1,6420.1
