n,n,n,n,n,n,n,e,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e
1618.2,1978.3,2135.7,2315.2,2495.9,2685.4,2856.2,3012.8,3780.2,3903.9,4055.1,4220.2,4343.5,4606.3,4812,4939.9,5153,5326,5447.3,5644.4,5796.6,5956.4,NaN,NaN,6306.6,NaN,6504.8,6662.6,6836.5,7058.1,7180.8,7295.5,7504.6,7654.2,7766.4,7975.5,8118.2,8232.2,8412.4,8568,8731.2,NaN,NaN,9063.9,NaN,9266,9426.7,9601.8,9823.9,9952.7,10066,10252,NaN,10450,10609,10774,NaN,NaN,11124,11254,11368,11555,11713,11878,NaN,NaN,12220,NaN,12417,12576,12760,12980,13104,13217,13403,NaN,13602,13763,13939,14163,14290,14406,14587,NaN,14787,14947,15117,15338,15466,15580,15786,15937,16051
1667.4,2054,2196.8,2379.5,2535.5,2760.1,2923.6,3120.8,3830.9,3978.1,4124.5,4281.3,4453.4,4676.5,4883.9,5050.7,5229.3,5402.1,5569.3,5739.4,5894.2,NaN,NaN,6211.5,NaN,6458.9,6625.5,6772.8,7019.1,7142.9,7258.1,7415.6,7578,7730.7,7893.1,8049,8192.9,8358.7,8531.8,8676.5,NaN,NaN,8989.3,NaN,9217.3,9370.9,9542.7,9786.1,9914.2,10032,10189,NaN,10400,10549,10709,NaN,NaN,11032,11192,11336,11493,11680,11824,NaN,NaN,12141,NaN,12367,12524,12696,12941,13061,13184,13339,NaN,13550,13723,13864,14124,14251,14372,14527,NaN,14739,14909,15055,15297,15431,15544,15719,15862,16019,16164
