n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1970.5,2161.2,2325,2484.6,2786.8,2963.4,3277.4,3459.1,3590.4,4683.2,4867.7,4981.3,5295.2,5490.2,5613.1,5816.9,6001.2,6132.7,6329,6486.2,6644.6,NaN,NaN,6989.2,NaN,7190.9,7356.9,7546.1,7773.1,7906.8,8027.2,8242,8394.4,8512.9,8709.6,8867.5,9038.8,NaN,NaN,9385.2,NaN,9587.4,9746.2,10055,10204,10323,10514,10677,10854,NaN,NaN,11193,NaN,11394,11559,11733,11958,12090,12205,12392,NaN,12591,12755,12954,NaN,NaN,13337,13606,13770,13886,14085,14246,14421,14643,14776,14891,15082,NaN,15284,15448,15634,NaN,NaN,15998,16147,16263,16446,16606,16806,NaN,NaN,17154,NaN,17358,17522,17692,17920,18054,18173,18353,NaN,18558,18720,18921,NaN,NaN,19305
2016.6,2216.1,2397.2,2556.7,2873.2,3025.1,3349.5,3527.4,3697.8,4751.4,4938.7,5091.1,5371.2,5562.5,5732.3,5890.5,6077.4,6254.4,6438.9,6584.9,NaN,NaN,6911.4,NaN,7139,7317.3,7458.1,7732.6,7853.4,7989.4,8151.9,8316.2,8469.5,8642.1,8815.9,8967.8,NaN,NaN,9303,NaN,9534.3,9691.2,9847.6,10131,10286,10451,10629,10778,NaN,NaN,11111,NaN,11348,11504,11662,11921,12037,12172,12330,NaN,12543,12705,12856,NaN,NaN,13215,13406,13678,13846,14013,14210,14349,14608,14723,14860,15017,NaN,15234,15398,15573,NaN,NaN,15900,16070,16229,16388,16548,16710,NaN,NaN,17074,NaN,17306,17467,17625,17878,17996,18131,18294,NaN,18507,18666,18826,NaN,NaN,19193,19378
