n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x
2235.1,2374.2,2525.3,3076.1,3263.1,3387.2,4824.8,4960.2,5110.1,5325.4,5486.9,5604.6,5787.3,5940.7,6106.8,NaN,NaN,6434,NaN,6626.9,6785.8,6946.4,7165.2,7292.8,7402.3,7606.3,7746,7861.5,8045.4,8197.5,8356.8,NaN,NaN,8683.5,NaN,8879.7,9037,9215.8,9433.5,9560.2,9676,9885.6,10036,10149,10338,10490,10676,NaN,NaN,11008,NaN,11207,11369,11532,11753,11882,11997,12201,12348,12463,12650,NaN,12847,13006
2286.6,2453.5,2595,3152.6,3330.4,3494.1,4911.9,5061.8,5222,5414.1,5566,5726.9,5888.9,6040.9,NaN,NaN,6358.1,NaN,6579,6725.5,6878.7,7125.6,7238.8,7371.7,7524.8,7676.8,7818.9,7983,8145.8,8297.4,NaN,NaN,8615.2,NaN,8822.2,8982.6,9137.9,9398,9506.9,9636.7,9795.3,9957.3,10111,10272,10435,10591,NaN,NaN,10932,NaN,11154,11304,11467,11713,11826,11959,12118,12272,12425,12582,NaN,12796,12955,13109
