-,-,n,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a
1527.2,1767.3,1963.4,2108.2,2276.3,2406.6,2776.2,2943.2,3061.3,3249.9,3410.5,3560.6,NaN,NaN,4177.2,4338.9,4454.2,4653.5,4792.4,4904.4,5080.8,5229.6,5394.2,5609.2,5731.1,5848.7,6051.8,6201.6,6310.2,6492.9,6643.5,6803.5,NaN,NaN,7134.9,NaN,7325.1,7480.1,7642.7,7856.1,7984.4,8097.4,8295.1,8435.4,8545,8766.8,8924.9,9049.9,9227.6,NaN,9418.4,9573.2,9743.3,9953.4,10071,10182,10374,10514,10625,10809,10962,11129,NaN,NaN,11454,NaN,11649,11804,11977,12186,12309,12428,12615
1563,1810.3,2036.3,2179,2337.9,2509,2845.9,3014,3176.2,3359.3,3503.2,NaN,NaN,3812.9,4253,4410.9,4575.6,4722.7,4866.8,5025.6,5175.8,5325,5571.7,5680.9,5804.6,5969.1,6123,6273.6,6431.3,6595.8,6740.2,NaN,NaN,7053.4,NaN,7277.6,7430.5,7570.1,7820.5,7926.1,8061.7,8217.9,8361.7,8511.6,8660.4,8837.4,8976.8,9163.9,NaN,9369.2,9523.8,9665.6,9914.3,10024,10149,10311,10449,10592,10752,10911,11060,NaN,NaN,11382,NaN,11601,11745,11900,12153,12262,12389,12549,12761
