n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,c,x,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c
2221.5,2339.2,2558.3,2724.7,2841.2,3028.3,3179.4,3364.2,NaN,NaN,3684.7,NaN,3878,4030,4198.6,4410.5,4541.5,4654.8,4853.7,4993.1,5104.3,5279,5432.6,5596.8,5810.3,5938.8,6048.9,6240.7,6380.3,6492.8,6672,6828.3,6994.2,7083,7405,7554.9,7669.6,7875.8,8015.1,8126.6,8305.9,8457.5,8632.1,NaN,NaN,8952.1,NaN,9144
2286.3,2444.7,2625.3,2797.2,2976.7,3132.2,3283.8,NaN,NaN,3615,NaN,3829.2,3979.6,4129.6,4377.3,4499.5,4617.2,4776.6,4927.7,5068.7,5221.9,5385.5,5526.8,5774.8,5891.5,6012.2,6166.9,6310.7,6456,6612.6,6776.8,6925.1,7056.2,7240.3,7478.8,7628.8,7788,7946.2,8090.5,8248.7,8403.8,8548.7,NaN,NaN,8888.6,NaN,9096.8,9207.9
