n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x
1660.2,1830.6,1980.7,2180.9,2350.9,2731.9,2896.7,3031.6,3635.1,3803.2,3934.8,4157.6,4354.2,4474.7,4726.3,4876.1,5038.9,NaN,NaN,5376.6,NaN,5577.2,5730.1,5903.6,6125,6252.3,6368.6,6597.5,6760.2,6881.2,7067.2,7222.9,7388.6,NaN,NaN,7723.8,NaN,7921.1,8079.2,8251.3,NaN,NaN,8601.1,8749.4,8860.2,9078.2,9249.8,9361.3,9547.9,9705.2,9874,NaN,NaN,10218,NaN,10418,10575,10749,10969,11096,11208,11396,NaN,11594,11756,11954,NaN,NaN,12326,12470,12585,12770,NaN,12968,13128,13314,13537,13662,13780,13969,NaN,14171,14373,14491,14680,NaN,14878,15044,15237,NaN,NaN,15620,15767,15889,16078,NaN,16282,16444
1695.8,1883.3,2033.3,2245.7,2412.2,2802,2963.5,3136.4,3702.6,3876.7,4042.5,4227.1,4429.2,4593.4,4826.3,4973.7,NaN,NaN,5294.6,NaN,5529.1,5677.6,5831.6,6084.5,6213,6328,6489.8,6667.3,6835.7,7002.3,7169.7,7321.4,NaN,NaN,7644.6,NaN,7868.6,8026.9,8179.2,NaN,NaN,8515,8672.1,8827,8981,9153.7,9327.8,9486.2,9655.5,9802,NaN,NaN,10130,NaN,10364,10526,10672,10930,11053,11170,11329,NaN,11544,11704,11855,NaN,NaN,12214,12398,12544,12707,NaN,12918,13073,13224,13494,13606,13739,13903,NaN,14118,14285,14449,14617,NaN,14832,14985,15141,NaN,NaN,15496,15702,15845,16010,NaN,16229,16387,16542
