-,-,n,c,-,-,-,-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,n,e,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n
1983.8,2338.2,2524.2,2631.8,2968.8,3238.7,3698.5,4075.8,4390.7,4569,4705.6,4984.3,5160.7,5278.8,5463.5,5612.2,5765,NaN,NaN,6087.1,NaN,6279.4,6837,7000.8,7115.9,7292.8,7443.4,7609.2,7821.3,7946.6,8057.8,8240.4,8391.6,8546.7,NaN,NaN,8875.4,NaN,9068.2,9222.1,9380.2,9595.8,9723.6,9837.2,10047,10199,10310,10492,10647,10810,NaN,NaN,11146,NaN,11339,11494,11672,11886,12011,12121,12299,NaN,12492,12648,12814,13029,13154,13266,13461,13598,13709,13886,14043,14209,NaN,NaN,14558,14736,14849,15028,NaN,15224,15381,15566,15782,15908,16023,16203,NaN,16403,16565,16764,NaN,NaN,17134,17288,17403,17585,NaN,17795,17959,18158,NaN,NaN,18516,18654,18771,18959,NaN,19155,19315,19488,19704,19836,19948,20164
2019.2,2372,2579.6,2815.4,3066.9,3503.7,3826,4126.2,4461.6,4628.8,4809.3,5053.1,5232.1,5395.1,5560.6,5704.6,NaN,NaN,6024.8,NaN,6232.4,6381.3,6909.2,7073.7,7234.6,7392.1,7536.9,7785.1,7890.2,8021.6,8177.2,8340.2,8487.2,NaN,NaN,8797.1,NaN,9024.1,9168.1,9316.7,9554.6,9670.2,9798.3,9954.2,10116,10277,10432,10597,10747,NaN,NaN,11069,NaN,11289,11447,11590,11850,11959,12086,12242,NaN,12443,12598,12746,12993,13099,13229,13390,13534,13676,13826,13995,14144,NaN,NaN,14461,14633,14813,14970,NaN,15178,15323,15477,15740,15854,15987,16147,NaN,16353,16511,16663,NaN,NaN,17017,17203,17363,17525,NaN,17734,17896,18060,NaN,NaN,18418,18586,18733,18893,NaN,19104,19254,19413,19668,19777,19915,20069,20237
