n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n
1728.5,1952.2,2127.7,2296,3166.9,3342.6,3468.6,3695.2,3839.8,3957.8,4147.4,4297.6,4459.4,NaN,NaN,4786.7,NaN,4978,5128.8,5298.8,5511.8,5644,5759.1,5963.8,6500.2,6604,6743.4,6925.1,7076.8,7227.3,NaN,NaN,7564.1,NaN,7755.2,7912.1,8081.9,8290.9,8417.5,8531,8705.7,NaN,8900.2,9056.2,9227.2,9447.2,9573.7,9684.7,9882.1
1767.8,2013.8,2195.6,2356,3234.1,3410.7,3574.6,3776.2,3915.2,4073.7,4249.3,4394.3,NaN,NaN,4710.1,NaN,4932.3,5079.9,5235.6,5475.3,5583.8,5718.4,5876.6,6029.9,6546,6699.7,6862.4,7022.9,7173.6,NaN,NaN,7481.1,NaN,7708.1,7863.1,8009.6,8255.2,8362.4,8493.3,8648.8,NaN,8852,9009.6,9151.7,9402.8,9519.6,9649.2,9807.3,9949.4
