n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,d,m,p
1988.1,2190.8,2312.3,2658.3,2827.3,2958.4,3164.9,3348.5,3470.7,3660,3809.1,3970.4,NaN,NaN,4297.9,NaN,4491.2,4645.4,4816,5029.4,5153,5266.7,5469.9,5611.6,5726.4,5909.5,6059.8,6214.9,NaN,NaN,6539.2,NaN,6731.2,6886.3,7057.2,7275.1,7400.9,7513.1,7710.3,7854.3,7963.6,8151.7,8305.1,8471.8,NaN,NaN,8797.8,NaN,8994.6,9152.2,9339.6,9559.2,9683.3,9794.2,10008,10140,10256,10439,10593,10766,NaN,NaN,11131,11268,11380,11584,11728,11840,12041,12182,12296,12492,12646,12813,13027,13155,13273,13471,NaN,13662,13834,14007,14225,14354,14477,14663,NaN,14856,15019,15215,NaN,NaN,15549,NaN,15745,15904,16111,NaN,NaN,16477,16636,16748,16954,17104,17221,17428,17584,17698,17884,18041,18233,NaN,NaN,18562,NaN,18760,18920,19101,NaN,NaN,19446,NaN,19645,19807,20008,NaN,NaN
2058.7,2251,2418.7,2730.9,2899.2,3073.5,3233.9,3424.3,3587.5,3754.7,3904.1,NaN,NaN,4228.6,NaN,4442.4,4599.2,4740.1,4994,5100.8,5229.2,5389.8,5550,5686.7,5845.5,6011,6159.1,NaN,NaN,6473.3,NaN,6686.1,6832.2,6985.2,7236.5,7345.5,7475.8,7632.5,7783.2,7930.7,8083.8,8256.2,8403.2,NaN,NaN,8723.3,NaN,8948.1,9097.9,9248.2,9519.1,9635.3,9757.4,9915.9,10089,10212,10376,10539,10690,NaN,NaN,11023,11204,11349,11506,11663,11806,11961,12119,12261,12420,12586,12740,12987,13099,13235,13396,NaN,13614,13766,13939,14182,14299,14432,14596,NaN,14807,14958,15119,NaN,NaN,15471,NaN,15691,15842,16004,NaN,NaN,16363,16548,16711,16870,17030,17183,17342,17501,17661,17818,17983,18141,NaN,NaN,18484,NaN,18711,18859,19024,NaN,NaN,19366,NaN,19593,19748,19906,NaN,NaN,20263
