n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n
1990.1,2103.5,2279.8,2547.5,2713.8,2835.9,3023.2,3177.6,3331,NaN,NaN,3668,NaN,3867.1,4025.5,4193.5,4413.7,4542.5,4653,4867.1,5014.2,5126.8,5313.9,5468.6,5622.6,NaN,NaN,5952.2,NaN,6152.2,6308.4,6468.8,6943.2,7085.1,7196.2,7385.1,7537.9,7702.4,NaN,NaN,8028.1,NaN,8224.3,8395.5,8559.1,8775,8903.5,9013.9,9215.8,9352.9,9464.4,9647.1,9804,9961.7,NaN,NaN,10293,NaN,10491,10649,10818,11038,11165,11275,11454,NaN,11653,11813,12005,NaN,NaN,12375,12516,12629,12837,12980,13095,13281,NaN,13483,13641,13821,14046,14176,14289,14473,NaN,14678,14873,14987,15180,NaN,15385,15551,15737,15968,16095,16210,16397,NaN,16599,16762,16941,NaN,NaN,17303,17455,17573,17768,NaN,17974,18135,18325,18615
2062.8,2220,2392.9,2620.4,2785.6,2958,3125.8,3283.1,NaN,NaN,3593,NaN,3815.1,3970.7,4123.7,4373.2,4488.2,4616.5,4772.2,4938.5,5092.6,5248.8,5409.6,5567.3,NaN,NaN,5879.1,NaN,6099.8,6257.9,6406.5,6643,7034.6,7159.8,7321.4,7483.7,7639.2,NaN,NaN,7956.5,NaN,8174.6,8327.1,8496.8,8739.6,8852.2,8975.8,9137.7,9288.6,9427.1,9586.5,9750.5,9904.1,NaN,NaN,10220,NaN,10441,10595,10750,10999,11109,11240,11395,NaN,11603,11763,11916,NaN,NaN,12261,12446,12589,12754,12909,13055,13214,NaN,13429,13585,13741,14003,14121,14251,14413,NaN,14621,14791,14948,15110,NaN,15331,15491,15663,15922,16041,16170,16331,NaN,16546,16710,16866,NaN,NaN,17199,17372,17531,17691,NaN,17918,18078,18250,18508,18689
